language_a,language_b,scoring_mode,excess_a_reading_b,excess_b_reading_a,difference,difference_confidence_interval_low,difference_confidence_interval_high,interval_excludes_zero
az,fi,skip,2.388454,2.470736,-0.082283,-0.242772,0.076312,no
az,kk,skip,2.444593,2.114100,0.330493,0.160986,0.504535,yes
az,ky,skip,2.089467,2.153802,-0.064335,-0.215297,0.089535,no
az,tr,skip,1.600860,1.375571,0.225288,0.062942,0.391793,yes
az,ug,skip,2.027591,1.794313,0.233278,0.105332,0.351660,yes
az,uz,skip,2.421434,1.826358,0.595076,0.467130,0.733806,yes
fi,kk,skip,2.009904,2.326798,-0.316895,-0.449970,-0.182615,yes
fi,ky,skip,2.313929,2.508497,-0.194568,-0.315408,-0.068693,yes
fi,tr,skip,2.268008,2.244089,0.023920,-0.111545,0.154216,no
fi,ug,skip,2.514431,2.478740,0.035692,-0.109058,0.181608,no
fi,uz,skip,2.475431,2.199037,0.276394,0.120250,0.410655,yes
kk,ky,skip,1.824401,1.392380,0.432022,0.298960,0.563387,yes
kk,tr,skip,2.093937,1.824002,0.269934,0.136399,0.401120,yes
kk,ug,skip,2.277012,2.159785,0.117228,-0.017685,0.267105,no
kk,uz,skip,2.272070,1.939519,0.332550,0.198171,0.487688,yes
ky,tr,skip,2.112093,1.715518,0.396575,0.288144,0.500003,yes
ky,ug,skip,2.001686,1.897424,0.104261,-0.019975,0.217439,no
ky,uz,skip,2.076877,1.979471,0.097406,-0.027273,0.225698,no
tr,ug,skip,1.874810,2.073770,-0.198961,-0.318721,-0.075208,yes
tr,uz,skip,2.169075,1.998990,0.170085,0.047346,0.292722,yes
ug,uz,skip,1.941755,1.353063,0.588692,0.442461,0.736315,yes
