listener_language,text_language,scoring_mode,cross_entropy,native_cross_entropy,excess_cross_entropy,excess_confidence_interval_low,excess_confidence_interval_high,fraction_of_positions_scored,number_of_positions_scored
az,az,skip,1.333903,1.333903,0.000000,0.000000,0.000000,0.670873,3137
az,fi,skip,3.731249,1.342796,2.388454,2.317233,2.463043,0.720702,3081
az,kk,skip,3.712153,1.267560,2.444593,2.326407,2.552394,0.609965,2926
az,ky,skip,3.408831,1.319364,2.089467,2.007207,2.169429,0.706903,3543
az,tr,skip,2.873862,1.273003,1.600860,1.506906,1.691202,0.746807,3625
az,ug,skip,3.303080,1.275489,2.027591,1.943085,2.110776,0.735289,4061
az,uz,skip,3.669875,1.248441,2.421434,2.317581,2.530643,0.722922,3384
fi,az,skip,3.804639,1.333903,2.470736,2.326689,2.605358,0.670873,3137
fi,fi,skip,1.342796,1.342796,0.000000,0.000000,0.000000,0.720702,3081
fi,kk,skip,3.277463,1.267560,2.009904,1.915407,2.095509,0.609965,2926
fi,ky,skip,3.633293,1.319364,2.313929,2.249775,2.379339,0.706903,3543
fi,tr,skip,3.541011,1.273003,2.268008,2.163860,2.363768,0.746807,3625
fi,ug,skip,3.789920,1.275489,2.514431,2.423586,2.611829,0.735289,4061
fi,uz,skip,3.723871,1.248441,2.475431,2.361833,2.595001,0.722922,3384
kk,az,skip,3.448003,1.333903,2.114100,1.981894,2.238753,0.670873,3137
kk,fi,skip,3.669594,1.342796,2.326798,2.227979,2.428376,0.720702,3081
kk,kk,skip,1.267560,1.267560,0.000000,0.000000,0.000000,0.609965,2926
kk,ky,skip,3.143765,1.319364,1.824401,1.748448,1.891318,0.706903,3543
kk,tr,skip,3.366939,1.273003,2.093937,2.018094,2.164353,0.746807,3625
kk,ug,skip,3.552501,1.275489,2.277012,2.212615,2.342615,0.735289,4061
kk,uz,skip,3.520510,1.248441,2.272070,2.172507,2.389646,0.722922,3384
ky,az,skip,3.487704,1.333903,2.153802,2.022773,2.283121,0.670873,3137
ky,fi,skip,3.851293,1.342796,2.508497,2.403654,2.617277,0.720702,3081
ky,kk,skip,2.659939,1.267560,1.392380,1.280099,1.495953,0.609965,2926
ky,ky,skip,1.319364,1.319364,0.000000,0.000000,0.000000,0.706903,3543
ky,tr,skip,3.385096,1.273003,2.112093,2.027558,2.191945,0.746807,3625
ky,ug,skip,3.277174,1.275489,2.001686,1.921472,2.065945,0.735289,4061
ky,uz,skip,3.325318,1.248441,2.076877,1.975397,2.185680,0.722922,3384
tr,az,skip,2.709474,1.333903,1.375571,1.234614,1.512387,0.670873,3137
tr,fi,skip,3.586884,1.342796,2.244089,2.149993,2.340089,0.720702,3081
tr,kk,skip,3.091562,1.267560,1.824002,1.706980,1.928417,0.609965,2926
tr,ky,skip,3.034882,1.319364,1.715518,1.641704,1.785391,0.706903,3543
tr,tr,skip,1.273003,1.273003,0.000000,0.000000,0.000000,0.746807,3625
tr,ug,skip,3.150298,1.275489,1.874810,1.777817,1.957414,0.735289,4061
tr,uz,skip,3.417516,1.248441,2.169075,2.079056,2.257298,0.722922,3384
ug,az,skip,3.128215,1.333903,1.794313,1.704075,1.886254,0.670873,3137
ug,fi,skip,3.821535,1.342796,2.478740,2.363580,2.592196,0.720702,3081
ug,kk,skip,3.427344,1.267560,2.159785,2.024393,2.282992,0.609965,2926
ug,ky,skip,3.216788,1.319364,1.897424,1.808256,1.987334,0.706903,3543
ug,tr,skip,3.346773,1.273003,2.073770,1.992789,2.160429,0.746807,3625
ug,ug,skip,1.275489,1.275489,0.000000,0.000000,0.000000,0.735289,4061
ug,uz,skip,3.190196,1.248441,1.941755,1.809052,2.072966,0.722922,3384
uz,az,skip,3.160261,1.333903,1.826358,1.748929,1.900123,0.670873,3137
uz,fi,skip,3.541833,1.342796,2.199037,2.112819,2.287822,0.720702,3081
uz,kk,skip,3.207079,1.267560,1.939519,1.839747,2.030625,0.609965,2926
uz,ky,skip,3.298835,1.319364,1.979471,1.909815,2.047566,0.706903,3543
uz,tr,skip,3.271993,1.273003,1.998990,1.916677,2.077987,0.746807,3625
uz,ug,skip,2.628552,1.275489,1.353063,1.288955,1.406356,0.735289,4061
uz,uz,skip,1.248441,1.248441,0.000000,0.000000,0.000000,0.722922,3384
