listener_language,text_language,scoring_mode,cross_entropy,native_cross_entropy,excess_cross_entropy,excess_confidence_interval_low,excess_confidence_interval_high,fraction_of_positions_scored,number_of_positions_scored
az,az,skip,1.352300,1.352300,0.000000,0.000000,0.000000,0.643713,3010
az,fi,skip,3.731249,1.342827,2.388422,2.309010,2.464216,0.720702,3081
az,kk,skip,3.648679,1.280916,2.367763,2.251445,2.481011,0.598708,2872
az,ky,skip,3.421178,1.331423,2.089755,2.001034,2.174769,0.678571,3401
az,tr,skip,2.921686,1.241978,1.679708,1.590044,1.764604,0.723115,3510
az,ug,skip,3.280109,1.274497,2.005612,1.924597,2.086079,0.696361,3846
az,uz,skip,3.606932,1.235033,2.371899,2.257356,2.490218,0.680410,3185
fi,az,skip,3.557201,1.352300,2.204901,2.078181,2.324376,0.643713,3010
fi,fi,skip,1.342827,1.342827,0.000000,0.000000,0.000000,0.720702,3081
fi,kk,skip,3.189486,1.280916,1.908570,1.832971,1.982601,0.598708,2872
fi,ky,skip,3.393079,1.331423,2.061656,2.008627,2.111643,0.678571,3401
fi,tr,skip,3.361513,1.241978,2.119535,2.035801,2.192467,0.723115,3510
fi,ug,skip,3.382972,1.274497,2.108474,2.014839,2.202541,0.696361,3846
fi,uz,skip,3.416530,1.235033,2.181497,2.085694,2.272534,0.680410,3185
kk,az,skip,3.439843,1.352300,2.087543,1.982580,2.181062,0.643713,3010
kk,fi,skip,3.562850,1.342827,2.220023,2.141084,2.296833,0.720702,3081
kk,kk,skip,1.280916,1.280916,0.000000,0.000000,0.000000,0.598708,2872
kk,ky,skip,3.059784,1.331423,1.728361,1.635181,1.820729,0.678571,3401
kk,tr,skip,3.382280,1.241978,2.140302,2.056885,2.229601,0.723115,3510
kk,ug,skip,3.279014,1.274497,2.004517,1.943027,2.063652,0.696361,3846
kk,uz,skip,3.428104,1.235033,2.193071,2.096088,2.295806,0.680410,3185
ky,az,skip,3.533900,1.352300,2.181601,2.046582,2.311723,0.643713,3010
ky,fi,skip,3.851293,1.342827,2.508466,2.398802,2.623515,0.720702,3081
ky,kk,skip,2.608680,1.280916,1.327764,1.206367,1.439308,0.598708,2872
ky,ky,skip,1.331423,1.331423,0.000000,0.000000,0.000000,0.678571,3401
ky,tr,skip,3.435341,1.241978,2.193363,2.110361,2.278551,0.723115,3510
ky,ug,skip,3.282388,1.274497,2.007891,1.921639,2.080754,0.696361,3846
ky,uz,skip,3.323495,1.235033,2.088463,1.985429,2.195731,0.680410,3185
tr,az,skip,2.657285,1.352300,1.304985,1.187250,1.418194,0.643713,3010
tr,fi,skip,3.471057,1.342827,2.128230,2.016120,2.236524,0.720702,3081
tr,kk,skip,3.065994,1.280916,1.785078,1.694360,1.864011,0.598708,2872
tr,ky,skip,3.055319,1.331423,1.723896,1.616810,1.823565,0.678571,3401
tr,tr,skip,1.241978,1.241978,0.000000,0.000000,0.000000,0.723115,3510
tr,ug,skip,3.063752,1.274497,1.789254,1.686155,1.888020,0.696361,3846
tr,uz,skip,3.196276,1.235033,1.961243,1.869494,2.051193,0.680410,3185
ug,az,skip,3.170220,1.352300,1.817920,1.732176,1.902184,0.643713,3010
ug,fi,skip,3.821535,1.342827,2.478708,2.361946,2.594877,0.720702,3081
ug,kk,skip,3.380264,1.280916,2.099348,1.981212,2.225542,0.598708,2872
ug,ky,skip,3.251435,1.331423,1.920012,1.833697,2.008095,0.678571,3401
ug,tr,skip,3.403798,1.241978,2.161820,2.077264,2.252012,0.723115,3510
ug,ug,skip,1.274497,1.274497,0.000000,0.000000,0.000000,0.696361,3846
ug,uz,skip,3.155611,1.235033,1.920578,1.774632,2.057836,0.680410,3185
uz,az,skip,3.174353,1.352300,1.822053,1.738149,1.897878,0.643713,3010
uz,fi,skip,3.541833,1.342827,2.199005,2.106334,2.295270,0.720702,3081
uz,kk,skip,3.158727,1.280916,1.877811,1.788953,1.959503,0.598708,2872
uz,ky,skip,3.310237,1.331423,1.978814,1.903851,2.048860,0.678571,3401
uz,tr,skip,3.306308,1.241978,2.064329,1.983035,2.146724,0.723115,3510
uz,ug,skip,2.604705,1.274497,1.330207,1.266319,1.385134,0.696361,3846
uz,uz,skip,1.235033,1.235033,0.000000,0.000000,0.000000,0.680410,3185
